"filename", "language", "TypeScript", "JSON", "Draw.io", "comment", "blank", "total"
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/CurveDifferentialEventsSequenceExtractorInterface.ts", "TypeScript", 7, 0, 0, 0, 4, 11
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/ExtractionCPClosestToZeroUnderEventSlidingAtExtremeties.ts", "TypeScript", 122, 0, 0, 2, 17, 141
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/ExtremumLocationClassifiier.ts", "TypeScript", 62, 0, 0, 0, 12, 74
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/OpenCurveDifferentialEventsExtractor.ts", "TypeScript", 84, 0, 0, 0, 14, 98
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/OpenCurveDifferentialEventsExtractorWithoutSequence.ts", "TypeScript", 32, 0, 0, 0, 4, 36
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/CurveConstraintStrategy.ts", "TypeScript", 438, 0, 0, 14, 60, 512
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/CurveConstraints.ts", "TypeScript", 324, 0, 0, 22, 27, 373
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/CurveShapeSpaceDescriptor.ts", "TypeScript", 25, 0, 0, 1, 7, 33
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/CurveShapeSpaceNavigator.ts", "TypeScript", 175, 0, 0, 8, 38, 221
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/NavigationCurveModel.ts", "TypeScript", 404, 0, 0, 36, 101, 541
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/NavigationCurveModelInterface.ts", "TypeScript", 10, 0, 0, 3, 9, 22
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/NavigationState.ts", "TypeScript", 940, 0, 0, 134, 113, 1187
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/ShapeSpaceBoundaryEnforcer.ts", "TypeScript", 192, 0, 0, 0, 47, 239
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/ShapeSpaceDiffEventsConfigurator.ts", "TypeScript", 304, 0, 0, 95, 54, 453
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/ShapeSpaceDiffEventsStructure.ts", "TypeScript", 103, 0, 0, 22, 22, 147
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/CurveConstraintInterface.ts", "TypeScript", 12, 0, 0, 0, 4, 16
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/IShapeSpaceConfigurator.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/Observer.ts", "TypeScript", 0, 0, 0, 9, 4, 13
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/RenderFrameObserver.ts", "TypeScript", 0, 0, 0, 6, 6, 12
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/SceneInteractionStrategy.ts", "TypeScript", 7, 0, 0, 0, 7, 14
